"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.574711250E0,5.343887329E-2,1.400337982E0,9.593101044E0
2.594822250E0,-6.885681152E-2,1.434467010E0,9.601184235E0
2.614932250E0,-8.981323242E-4,1.378184052E0,9.715097351E0
2.635043250E0,4.490661621E-3,1.374142456E0,9.790241089E0
2.655154250E0,2.439926147E-2,1.397194519E0,9.678872681E0
2.675265250E0,1.287322998E-2,1.434317322E0,9.705068207E0
2.695376250E0,3.906875610E-2,1.383872223E0,9.761051788E0
2.715486250E0,4.041595459E-2,1.410067749E0,9.845625916E0
2.735597250E0,6.017486572E-2,1.446292419E0,9.741143188E0
2.755708250E0,8.023315430E-2,1.397344208E0,9.709708557E0
2.775819250E0,-2.230361938E-2,1.439706116E0,9.752818909E0
2.795930250E0,-1.227447510E-2,1.393152924E0,9.723928986E0
2.816040250E0,-3.143463135E-2,1.374741211E0,9.626032562E0
2.836151250E0,2.844085693E-3,1.329235840E0,9.704619141E0
2.856262250E0,-4.790039062E-3,1.348994751E0,9.721384277E0
2.876373250E0,-5.074447632E-2,1.370250549E0,9.672436066E0
2.896484250E0,-3.727249146E-2,1.334774323E0,9.815837860E0
2.916595250E0,-1.766326904E-2,1.441352692E0,9.855205994E0
2.936705250E0,2.544708252E-2,1.427431641E0,9.755662994E0
2.956816250E0,1.541793823E-2,1.441951447E0,9.665251007E0
2.976927250E0,5.763015747E-2,1.437011719E0,9.581724701E0
2.997038250E0,2.559677124E-2,1.438209229E0,9.615105286E0
3.017149250E0,4.535568237E-2,1.379680939E0,9.730814667E0
3.037259250E0,3.622467041E-2,1.377734985E0,9.680668945E0
3.057370250E0,3.263214111E-2,1.396745453E0,9.664652252E0
3.077481250E0,4.969665527E-2,1.407373352E0,9.652826843E0
3.097592250E0,4.101470947E-2,1.415306854E0,9.712402954E0
3.117702250E0,3.173400879E-2,1.361269226E0,9.761201477E0
3.137813250E0,-7.783813477E-3,1.385967865E0,9.734257507E0
3.157924250E0,2.125579834E-2,1.372645569E0,9.766290894E0
3.178035250E0,-2.544708252E-3,1.376836853E0,9.724677429E0
3.198146250E0,-3.442840576E-3,1.395547943E0,9.754016418E0
3.218256250E0,-2.754272461E-2,1.392105103E0,9.677076416E0
3.238367250E0,6.047424316E-2,1.371897125E0,9.598340149E0
3.258478250E0,7.514373779E-2,1.376986542E0,9.676028595E0
3.278589250E0,4.116439819E-2,1.405577087E0,9.647587738E0
3.298700250E0,7.334747314E-3,1.416204987E0,9.753118286E0
3.318810250E0,8.382568359E-3,1.391057281E0,9.758507080E0
3.338921500E0,4.101470947E-2,1.318757629E0,9.745783539E0
3.359032500E0,3.457809448E-2,1.303639069E0,9.706565094E0
3.379143500E0,1.347198486E-3,1.315165100E0,9.669292603E0
3.399254500E0,6.137237549E-2,1.373244324E0,9.796078949E0
3.419364500E0,1.026864624E-1,1.403930511E0,9.710157623E0
3.439475500E0,9.430389404E-2,1.399888916E0,9.698481903E0
3.459586500E0,7.828720093E-2,1.400038605E0,9.745633850E0
3.479697500E0,3.817062378E-2,1.400487671E0,9.823621674E0
3.499808500E0,8.816665649E-2,1.408421173E0,9.689500580E0
3.519918500E0,-8.981323242E-4,1.386865997E0,9.727671204E0
3.540029500E0,-8.681945801E-3,1.423090668E0,9.756710815E0
3.560140500E0,3.517684937E-2,1.349294128E0,9.754764862E0
3.580251500E0,2.350112915E-2,1.354832611E0,9.746831360E0
3.600361500E0,6.286926270E-3,1.372795258E0,9.629325714E0
3.620472500E0,1.736389160E-2,1.371747437E0,9.667196960E0
3.640583500E0,2.799179077E-2,1.404080200E0,9.632169800E0
3.660694500E0,4.490661621E-3,1.423539734E0,9.668544159E0
3.680805500E0,5.388793945E-2,1.359622650E0,9.755812683E0
3.700915500E0,5.553451538E-2,1.417851562E0,9.747729492E0
3.721026500E0,-7.783813477E-3,1.406774597E0,9.732311554E0
3.741137500E0,-1.691482544E-2,1.424138489E0,9.719737701E0
3.761248500E0,3.547622681E-2,1.421893158E0,9.726773071E0
3.781359500E0,6.032455444E-2,1.403780823E0,9.653724976E0
3.801469500E0,2.903961182E-2,1.411265259E0,9.663454742E0
3.821580500E0,3.592529297E-2,1.420695648E0,9.785301361E0
3.841691500E0,1.076261902E-1,1.407373352E0,9.830507355E0
3.861802500E0,3.562591553E-2,1.409019928E0,9.699380035E0
3.881912500E0,2.993774414E-3,1.397942963E0,9.678423615E0
3.902023500E0,1.272354126E-2,1.425186310E0,9.688452759E0
3.922134500E0,2.769241333E-2,1.392404480E0,9.709259491E0
3.942245500E0,1.092727661E-2,1.394649811E0,9.721683655E0
3.962356500E0,2.185455322E-2,1.376687164E0,9.677675171E0
3.982466500E0,1.901046753E-2,1.413660278E0,9.633067932E0
4.002577500E0,3.038681030E-2,1.427880707E0,9.660011902E0
4.022688500E0,-0.000000000E0,1.395997009E0,9.649833069E0
4.042799500E0,7.155120850E-2,1.360221405E0,9.601184235E0
4.062909500E0,3.817062378E-2,1.350192261E0,9.652228088E0
4.083020500E0,6.421646118E-2,1.404678955E0,9.706265717E0
4.103131500E0,1.110690308E-1,1.414708099E0,9.761500854E0
4.123242500E0,7.798782349E-2,1.406325531E0,9.818083191E0
4.143353500E0,1.323248291E-1,1.420545959E0,9.684560852E0
4.163463500E0,9.131011963E-2,1.426383820E0,9.724527740E0
4.183574500E0,2.769241333E-2,1.417552185E0,9.773775330E0
4.203685500E0,1.092727661E-2,1.410666504E0,9.760752411E0
4.223796500E0,-2.065704346E-2,1.415755920E0,9.711055756E0
4.243906500E0,4.939727783E-2,1.391206970E0,9.715396729E0
4.264017500E0,2.080673218E-2,1.401984558E0,9.696685638E0
4.284128500E0,3.158432007E-2,1.424587555E0,9.651030579E0
4.304239500E0,-1.017883301E-2,1.401685181E0,9.657916260E0
4.324349500E0,6.586303711E-3,1.383123779E0,9.642348633E0
4.344460375E0,7.244934082E-2,1.395997009E0,9.643695831E0
4.364571375E0,5.059478760E-2,1.414109344E0,9.618398438E0
4.384682375E0,4.355941772E-2,1.414708099E0,9.624984741E0
4.404793375E0,2.080673218E-2,1.374292145E0,9.776020660E0
4.424903375E0,4.625381470E-2,1.389261017E0,9.784103851E0
4.445014375E0,3.847000122E-2,1.384920044E0,9.695188751E0
4.465125375E0,4.176315308E-2,1.355131989E0,9.670639801E0
4.485236375E0,6.511459351E-2,1.395098877E0,9.774823151E0
4.505346375E0,1.052311707E-1,1.367107086E0,9.791588287E0
4.525457375E0,7.259902954E-2,1.356329498E0,9.736802216E0
4.545568375E0,1.017883301E-2,1.386716309E0,9.724527740E0
4.565679375E0,5.104385376E-2,1.362317047E0,9.785001984E0
4.585789375E0,4.819976807E-2,1.358874207E0,9.762099609E0
4.605900375E0,6.825805664E-2,1.365310822E0,9.689350891E0
4.626011375E0,2.365081787E-2,1.368454285E0,9.630373535E0
4.646122375E0,5.224136353E-2,1.347797241E0,9.604776764E0
4.666233375E0,6.436614990E-2,1.350341949E0,9.724078674E0
4.686343375E0,5.014572144E-2,1.328637085E0,9.745933228E0
4.706454375E0,6.137237549E-3,1.294508057E0,9.771829376E0
4.726565375E0,2.993774414E-3,1.303639069E0,9.782157898E0
4.746676375E0,7.185058594E-2,1.337019653E0,9.706415405E0
4.766786375E0,1.324745178E-1,1.344504089E0,9.686357117E0
4.786897375E0,9.879455566E-2,1.358125763E0,9.734856262E0
4.807008375E0,1.330732727E-1,1.371448059E0,9.787995758E0
4.827119375E0,8.936416626E-2,1.405427399E0,9.725126495E0
4.847229375E0,7.604187012E-2,1.347048798E0,9.760752411E0
4.867340375E0,1.571731567E-2,1.363664246E0,9.762548676E0
4.887451375E0,3.712280273E-2,1.334325256E0,9.713600464E0
4.907562375E0,4.999603271E-2,1.299447784E0,9.705517273E0
4.927672375E0,7.963439941E-2,1.288071442E0,9.826615448E0
4.947783375E0,4.026626587E-2,1.323248291E0,9.784702606E0
4.967894375E0,2.619552612E-2,1.373244324E0,9.656868439E0
4.988005375E0,5.583389282E-2,1.396595764E0,9.590706024E0
5.008115375E0,8.607101440E-2,1.405128021E0,9.559121704E0
5.028226375E0,1.136137390E-1,1.367406464E0,9.652677155E0
5.048337375E0,5.912704468E-2,1.317859497E0,9.754615173E0
5.068448375E0,1.017883301E-2,1.336121521E0,9.860145721E0
5.088558375E0,6.915618896E-2,1.337019653E0,9.822873230E0
5.108669375E0,3.562591553E-2,1.356778564E0,9.727072449E0
5.128780375E0,9.774673462E-2,1.381327515E0,9.635912018E0
5.148891375E0,5.867797852E-2,1.377734985E0,9.626930695E0
5.169001375E0,8.187973022E-2,1.384920044E0,9.616452484E0
5.189112375E0,7.619155884E-2,1.340612183E0,9.675429840E0
5.209223375E0,6.451583862E-2,1.318607941E0,9.805060272E0
5.229334375E0,6.825805664E-2,1.344354401E0,9.798923035E0
5.249444375E0,5.298980713E-2,1.345851288E0,9.781858521E0
5.269555375E0,6.032455444E-2,1.353485413E0,9.796228638E0
5.289666375E0,7.978408813E-2,1.373843079E0,9.667945404E0
5.309777375E0,8.202941895E-2,1.407672729E0,9.551487579E0
5.329887750E0,9.819580078E-2,1.381776581E0,9.591155090E0
5.349998750E0,2.424957275E-2,1.368304596E0,9.688602448E0
5.370109750E0,3.278182983E-2,1.327888641E0,9.769134979E0
5.390220750E0,6.496490479E-2,1.319356384E0,9.778265991E0
5.410330750E0,4.715194702E-2,1.365011444E0,9.774823151E0
5.430441750E0,5.942642212E-2,1.372645569E0,9.743837585E0
5.450552750E0,6.256988525E-2,1.397793274E0,9.779014435E0
5.470663750E0,9.714797974E-2,1.413510590E0,9.730664978E0
5.490773750E0,1.170565796E-1,1.403481445E0,9.640103302E0
5.510884750E0,8.786727905E-2,1.389410706E0,9.686207428E0
5.530995750E0,5.059478760E-2,1.362017670E0,9.708211670E0
5.551105750E0,3.113525391E-2,1.333277435E0,9.698781281E0
5.571216750E0,2.290237427E-2,1.360820160E0,9.710606689E0
5.591327750E0,4.685256958E-2,1.305135956E0,9.834249573E0
5.611438750E0,2.484832764E-2,1.394350433E0,9.660161591E0
5.631548750E0,1.100212097E-1,1.352587280E0,9.636959839E0
5.651659750E0,1.871109009E-2,1.410217438E0,9.658664703E0
5.671770750E0,7.080276489E-2,1.384021912E0,9.615853729E0
5.691881750E0,1.781295776E-2,1.426982574E0,9.699230347E0
5.711991750E0,3.802093506E-2,1.394649811E0,9.694589996E0
5.732102750E0,6.855743408E-2,1.355880432E0,9.699080658E0
5.752213750E0,3.727249146E-2,1.347497864E0,9.701176300E0
