"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.773216848195703E9,"2026-03-11 11:14:08.196 UTC+03:00"
"PAUSE",9.814500779166701E1,1.773216946340961E9,"2026-03-11 11:15:46.341 UTC+03:00"
