time,gx,gy,gz
0.0,0.001816504425153197,-0.001455563506739349,-0.008793988460532118
0.01,-0.0006177736927874057,0.004776448797908325,0.005803932578104116
0.02,0.010361188353562744,0.007150094379102645,0.007054546241605319
0.03,0.0032395308305227443,0.01296126947965366,0.00021143124960394202
0.04,-0.006709261100164678,0.007908208837179536,-0.00982019394110713
0.05,-0.005447270633085558,0.0005105698002691112,0.00035043645285771696
0.06,0.005455946394033164,-0.010466026043394973,0.010057879685394221
0.07,0.008333862821236776,0.0012452663813739286,0.013942931760414085
0.08,0.004413441858047756,0.002052619166794462,-0.0025336634586073156
0.09,0.01517510998297665,0.005672238202546432,-0.013278942802062321
0.1,0.013080057325851352,0.010831134874587403,0.006722908796438229
0.11,0.003528286678806103,-0.0007612040964542343,-0.0022077047716400067
0.12,-0.006708645275852018,0.01680789751850489,0.007544325132488318
0.13,-0.010479900093854142,-0.014074296160324618,0.002248577800140956
0.14,-0.003099053960117719,0.003354734979693002,-0.0070675528460948
0.15,0.0060257075713292555,-0.006388163137472225,0.0004659548852750476
0.16,0.014613176634495503,-0.015257775997510424,0.010466706936434624
0.17,0.0033395762752863986,-0.0016141950103932686,-0.0011932319117379502
0.18,0.009349782353849893,-0.011657381587367652,-0.008278441307563021
0.19,-0.001962459889502419,-0.0012914231842625346,-0.012709153348773252
0.2,0.004982153001820401,0.00027815398475565403,-0.006177317494917214
0.21,0.006586854635817381,0.008948331274687596,-0.003281090094167856
0.22,-0.015836754206820226,-0.0120606810781115,0.006559993087338073
0.23,-0.003307510419012082,0.00726756132516618,-0.008966794142492974
0.24,0.007597603074222958,0.0007846436022383522,0.012430015085837087
0.25,0.0021957466850925193,0.008230793228876756,-0.010697217686729533
0.26,-0.009572120385207465,-0.003454009400249022,0.018651888740454696
0.27,-0.01944097900581885,-0.010657956694107563,0.01380414845403577
0.28,-0.002926245962416051,-0.00973999460972693,0.0011293299951039366
0.29,-0.0005726855431510324,-0.010334459629336929,-0.013181548278156738
0.3,-0.007071383598626763,0.0038225132233652413,-0.00044339249585937507
0.31,0.0011446794962239554,0.011815376177717597,-0.0030947276638920457
0.32,0.004051093977863157,-0.004519612213241764,-0.010194297784407391
0.33,0.005365497365809863,0.005033082386062268,0.0023280770179795384
0.34,-0.01884735139945858,-0.012187536465084959,-0.006589145038845151
0.35000000000000003,-0.010514280782464962,0.001442569993418392,-0.005719246776396651
0.36,-0.0024369811868378845,0.005348500930697013,-0.0016294290765788437
0.37,0.004577385048299708,-0.011584998202214947,-0.004599270629645627
0.38,0.003913872108400284,-0.0016310677518388363,0.016625252936880233
0.39,0.0037749595830134067,0.0057273371238845214,-0.004285717063996397
0.4,-0.0030673435357514546,-0.023470165177835817,0.0035270480911558043
0.41000000000000003,-0.0026210674984796863,0.01068362449361394,0.0011641799376828942
0.42,-0.005826634147373926,0.002829435007128385,0.0028220018020709762
0.43,0.006145553024846783,0.005733821181738742,0.003432707228887456
0.44,-0.007363910301916626,-0.003301754233558115,0.007050891892848979
0.45,0.006800291161516559,-0.013781779852522843,0.0021315686049491384
0.46,0.0016628259051011686,0.004272503650535614,0.0017991663590905603
0.47000000000000003,-0.0003603558276412287,-0.0006607226033320965,0.00046781654774511524
0.48,-0.005253683198211733,0.0002569236434585649,-0.0011073428187197956
0.49,-0.010844334889313011,0.008700855881591628,-0.007294383053285418
0.5,-0.005181222051024365,0.0060965109909007845,-0.00048694701936161127
0.51,-0.0026400549489990904,0.015369899336716902,0.0019301390021242675
0.52,-0.018952194492650013,0.001230833830987992,0.00321731645258236
0.53,-0.0015788412426773143,-0.005529699502328938,0.0014422781839218914
0.54,0.007394858944208045,-0.00150733477526981,-0.0018636401075882705
0.55,0.00453774324347098,0.0033253069803088502,-0.00045663922556718164
0.56,-0.003969647005932059,0.008126852151943819,-0.004429171876406336
0.5700000000000001,0.0003754903873218218,-0.01173627161150975,0.0025057919280525114
0.58,-0.004449316555375997,6.830092143335157e-05,-0.0017690258233129751
0.59,0.001190085866685569,0.012876333256306953,0.00144448750557976
0.6,0.012320862589952252,-0.0019216709680201615,0.008006424347060418
0.61,0.007747990420999008,0.007448094838952836,-0.005674871277139358
0.62,0.004166354445542022,0.0039449402177280405,0.004773563047283874
0.63,-0.003943079299069747,0.00764688485219984,0.00026568143908298203
0.64,0.005999507143558709,-0.006478084332799459,0.01616954879664604
0.65,-0.013495015610984425,-0.006443213360524646,-0.001730402627708077
0.66,-0.0020188278559271243,0.0001621751369783045,0.005561316665208531
0.67,0.004669691358591599,-0.012257774297922491,0.0001228276140478166
0.68,0.005923369712382011,-0.002157924852893262,-0.01110643606650795
0.6900000000000001,0.005359075921725929,0.002023013260125337,-0.0041655127641531545
0.7000000000000001,0.002358645513677556,0.01427708485559818,0.007043768843427149
0.71,-0.0015657998326710635,0.0032217455141585736,-0.003461555684866185
0.72,0.004303807758611911,0.005001827766984818,-0.01776205051871691
0.73,-0.007622888324690404,0.009315806776400046,-0.00025122413539603047
0.74,-0.006757418106345999,-0.007717260711160453,-0.008738690383608085
0.75,0.0004938774116823738,-0.001320661298967886,0.0010545418607737504
0.76,0.001385581141669979,0.019403300734431143,0.01240917665118415
0.77,-0.014604921428517171,-0.0006329777790760697,0.006155658486423228
0.78,0.0036411710475961483,0.008931445990257657,0.012293246629919822
0.79,0.006181827023355147,0.007709903017384858,-0.004492096171555932
0.8,-0.0006182818997303625,-0.011824909715101514,-0.0011453306690842576
0.81,0.018995730266271937,0.0024838342160474667,-0.008355489574462237
0.8200000000000001,-0.00546348085052149,0.0011739797776418052,-0.005472347560320761
0.8300000000000001,-0.002888697307094956,0.0026396703027234776,-0.0074150786582894415
0.84,-0.003160535249017675,-0.00603289983832848,-0.01045378375369566
0.85,-0.0006095008903281403,-0.008935356095297274,0.010926853002650724
0.86,-0.0026297985037303287,-0.0038080800001668107,-0.01673568236021138
0.87,-0.011254484356838974,-0.0007823599766736231,0.010961111238436454
0.88,-0.004372386369891803,0.009479875580802528,0.00996847139936185
0.89,-0.0007809655661926087,0.014538486557804856,0.003998341403831984
0.9,0.00982857665649598,0.011172782769785424,-0.008916058144752555
0.91,0.017617946186983306,0.006881481686254754,-0.012657400891545658
0.92,0.010683791182805238,-0.008034722098396719,-0.004387229450108515
0.93,-0.006203032237380852,-0.003271169399915964,0.005000963650719392
0.9400000000000001,-0.005566476885009324,0.0016794084193039824,2.450909952539377e-05
0.9500000000000001,-0.0012746286200748078,-0.0050595123046094,-0.00834799596075806
0.96,0.014276471110828689,0.004617645220223607,0.00918563827725192
0.97,-0.0013233924174551473,0.0057638888660343016,0.013475066625452304
0.98,-0.010620059924299445,0.0042903205005237486,-0.0018127933121167802
0.99,-0.004009417095624281,0.00820107683646065,0.0008746952287787658
1.0,0.006056448014555336,-0.007236729709704592,-0.012070789469035968
1.01,0.005519522215168695,0.007462629632737582,-0.003315093728872282
1.02,-0.0016017333319332488,-0.00556516360096157,0.00408351982400795
1.03,0.005467317388480245,-0.007527487621143083,0.0028388523220622204
1.04,-0.018185377620374657,0.004256929073491054,-0.004061342793677654
1.05,0.0008306338802615815,0.009726988497591845,-0.0021939480678115756
1.06,0.006885483370949041,0.003904107891008079,-0.003577685892356415
